<<<<<<< HEAD
638,,,,,,,,,GNAI1,GSN,,,KIF18B,,,,ACAN | AMEX60DD004178,,,,,,,Vstm2l
639,,,,,,,,,FABP4,NKAIN2,,,BLVRA,,,,ATP5F1A | AMEX60DD041683,,,,,,,Kcnc2
640,,,,,,,,,KALRN,ASPH,,,RRS1,,,,LOC115466066[nr]|ICAM5[hs] | AMEX60DD031873,,,,,,,Slc12a2
641,,,,,,,,,MOG,OPN3,,,PLA2G2D,,,,SDC2 | AMEX60DD040162,,,,,,,Rims3
642,,,,,,,,,YWHAB,CNTNAP4,,,SELE,,,,PDGFRA | AMEX60DD045542,,,,,,,Scn4b
643,,,,,,,,,BEX5,TTC9B,,,ARHGAP9,,,,PODXL | AMEX60DD008079,,,,,,,Gjb1
644,,,,,,,,,NMNAT2,MAG,,,LTO1,,,,MUSTN1 | AMEX60DD023650,,,,,,,Rora
645,,,,,,,,,TTYH2,HPCA,,,MMP1,,,,KLF10 | AMEX60DD040240,,,,,,,Calm1
646,,,,,,,,,ATP2B2,MAP1B,,,CAVIN3,,,,DRD3 | AMEX60DD046985,,,,,,,Trf
647,,,,,,,,,TGFBR3L,MUC5B,,,GZMK,,,,AMEX60DD052120,,,,,,,Anln
648,,,,,,,,,ATP5F1A,KCNIP4,,,MZB1,,,,LOC115099991[nr] | AMEX60DD018180,,,,,,,Zwint
649,,,,,,,,,LINC00599,ALCAM,,,GRTP1,,,,EDNRB | AMEX60DD048805,,,,,,,Lamp5
650,,,,,,,,,C1orf115,OLFM3,,,NDP,,,,RPL13 | AMEX60DD017083,,,,,,,
651,,,,,,,,,GRM5,ADCY1,,,MRPL45,,,,AMEX60DD054837,,,,,,,
652,,,,,,,,,GUCY1B1,EFHD1,,,SMARCA1,,,,AMEX60DD019586,,,,,,,
653,,,,,,,,,SYNC,TAGLN,,,GOT2,,,,TAGLN | AMEX60DD053922,,,,,,,
654,,,,,,,,,EEF1A2,OXR1,,,AC100826.1,,,,TIMP4 | AMEX60DD024010,,,,,,,
655,,,,,,,,,PTGDS,RORB,,,TPX2,,,,TMIE | AMEX60DD020531,,,,,,,
656,,,,,,,,,ACTR3B,NRXN2,,,NVL,,,,ALDH2 | AMEX60DD000689,,,,,,,
657,,,,,,,,,RGS12,SYBU,,,TMEM106C,,,,MARCO | AMEX60DD056028,,,,,,,
658,,,,,,,,,ADAMTS4,RAPGEF5,,,PODXL,,,,PPIC | AMEX60DD042867,,,,,,,
659,,,,,,,,,SVOP,GRASP,,,STC2,,,,AMEX60DD007170,,,,,,,
660,,,,,,,,,CACNA1B,IGHG3,,,LINC02224,,,,F10 | AMEX60DD048288,,,,,,,
661,,,,,,,,,PRNP,INA,,,VCAM1,,,,FAM131A | AMEX60DD001523,,,,,,,
662,,,,,,,,,HSPA12A,MAP3K12,,,CKAP2,,,,SLC29A4 | AMEX60DD025690,,,,,,,
663,,,,,,,,,MIAT,ATP2A2,,,REEP1,,,,GLUL.L[nr]|GLUL[hs] | AMEX60DD050853,,,,,,,
664,,,,,,,,,FAM107B,CLSTN2,,,CCNF,,,,PSAP | AMEX60DD051892,,,,,,,
665,,,,,,,,,CNTNAP1,ELMO1,,,SH3BGRL,,,,AMEX60DD047022,,,,,,,
666,,,,,,,,,PAQR6,CMTM5,,,GTF2H5,,,,ATP2B1[hs] | AMEX60DD006353,,,,,,,
667,,,,,,,,,CTNNB1,CITED2,,,S100G,,,,GPR37L1 | AMEX60DD008635,,,,,,,
668,,,,,,,,,ICA1,NAPB,,,DBNDD2,,,,CA2 | AMEX60DD040028,,,,,,,
669,,,,,,,,,PFKP,GPRASP2,,,DOCK1,,,,C1QTNF1 | AMEX60DD031409,,,,,,,
670,,,,,,,,,PRKAR1B,FZD3,,,GBP2,,,,ABCG2 | AMEX60DD044012,,,,,,,
671,,,,,,,,,ATP5F1B,RNF13,,,TXN,,,,EDNRA | AMEX60DD045012,,,,,,,
672,,,,,,,,,C14orf132,HBA2,,,INHA,,,,nan | AMEX60DD000402,,,,,,,
673,,,,,,,,,B4GALT6,FRRS1L,,,SCUBE3,,,,GJA1 | AMEX60DD034120,,,,,,,
674,,,,,,,,,SIRT2,PVALB,,,DRAIC,,,,NPFF | AMEX60DD029535,,,,,,,
675,,,,,,,,,TFF1,SCGB2A2,,,PRUNE1,,,,LOC108697507[nr]|FMOD[hs] | AMEX60DD009114,,,,,,,
676,,,,,,,,,ABCA2,HOPX,,,PKMYT1,,,,LOC115479509[nr]|GZMB[hs] | AMEX60DD014616,,,,,,,
677,,,,,,,,,FABP3,PPFIA2,,,CD40,,,,FAM180A | AMEX60DD007033,,,,,,,
678,,,,,,,,,CACNA2D1,SAA2,,,HIST1H2BD,,,,LOC110222103[nr]|UBC[hs] | AMEX60DD000054,,,,,,,
679,,,,,,,,,EPB41L3,ATP1B1,,,EPCAM,,,,FOXP1 | AMEX60DD023939,,,,,,,
680,,,,,,,,,CXCL14,RELN,,,SCNN1B,,,,REC114 | AMEX60DD003886,,,,,,,
681,,,,,,,,,CDK18,G0S2,,,DTYMK,,,,TSPO | AMEX60DD006428,,,,,,,
682,,,,,,,,,IGLC2,SLC12A5,,,SLC66A3,,,,EIF3F | AMEX60DD015751,,,,,,,
683,,,,,,,,,NEUROD2,OLA1,,,TP53I11,,,,NXPH1 | AMEX60DD022514,,,,,,,
684,,,,,,,,,PPP3CA,ATP6V1E1,,,SLC4A8,,,,nan | AMEX60DD009353,,,,,,,
685,,,,,,,,,DNM1,KRT17,,,HELZ2,,,,RPL28 | AMEX60DD016499,,,,,,,
686,,,,,,,,,MAT2B,GPRC5B,,,REEP5,,,,GSN | AMEX60DD050610,,,,,,,
687,,,,,,,,,BOLA3,PIP5K1B,,,FNDC1,,,,EGFL7 | AMEX60DD050693,,,,,,,
688,,,,,,,,,OLFM1,FA2H,,,CD55,,,,SWAP70 | AMEX60DD004789,,,,,,,
689,,,,,,,,,HSP90AA1,SHOC2,,,NDRG1,,,,SLC17A6 | AMEX60DD004989,,,,,,,
690,,,,,,,,,ASS1,CALM3,,,AGR3,,,,AVPR1A | AMEX60DD007737,,,,,,,
691,,,,,,,,,RALB,MGP,,,NPM1,,,,PTGIS | AMEX60DD027558,,,,,,,
692,,,,,,,,,RGS4,TFF3,,,ESRP2,,,,PRDM8.S[nr]|PRDM8[hs] | AMEX60DD043742,,,,,,,
693,,,,,,,,,UBE2E3,LMTK2,,,AGRN,,,,NFATC1 | AMEX60DDU001005462,,,,,,,
694,,,,,,,,,SCG2,RCAN2,,,ECI2,,,,EHD2 | AMEX60DD024434,,,,,,,
695,,,,,,,,,ATP5IF1,SNN,,,FCGBP,,,,HBG2[hs] | AMEX60DD028125,,,,,,,
696,,,,,,,,,LRRC8D,IFI27,,,PLIN1,,,,RUNX2 | AMEX60DD032922,,,,,,,
697,,,,,,,,,FEZ1,PIP,,,ID3,,,,PNCK | AMEX60DD025557,,,,,,,
698,,,,,,,,,PLEKHB1,MFSD4A,,,RMND5B,,,,C7 | AMEX60DD041969,,,,,,,
699,,,,,,,,,NPTXR,MAF,,,CMPK2,,,,AMEX60DD035705,,,,,,,
700,,,,,,,,,BAIAP3,DCLK1,,,MRPL13,,,,LOC105357518[nr] | AMEX60DD009107,,,,,,,
701,,,,,,,,,CSRP1,SYN2,,,CMYA5,,,,PCDH19 | AMEX60DD037682,,,,,,,
702,,,,,,,,,SOX8,IGFBP5,,,EMP2,,,,CYP7B1 | AMEX60DD039816,,,,,,,
703,,,,,,,,,MT1G,CTNNA2,,,PDCD5,,,,EFCAB6 | AMEX60DD006437,,,,,,,
704,,,,,,,,,CCT8,LMTK3,,,HDC,,,,ADAMTS8[nr] | AMEX60DD053568,,,,,,,
705,,,,,,,,,NSG2,HMGCS1,,,NME2,,,,COL23A1 | AMEX60DD029020,,,,,,,
706,,,,,,,,,PIP4K2C,NRN1,,,TNFRSF12A,,,,COL4A1 | AMEX60DD047873,,,,,,,
707,,,,,,,,,TUBA1A,STXBP5,,,ANKRD30B,,,,RGS5 | AMEX60DD018752,,,,,,,
708,,,,,,,,,SLC6A1,EGR3,,,FUOM,,,,ALDOC[hs] | AMEX60DD054868,,,,,,,
709,,,,,,,,,COQ10B,NEGR1,,,ANGPTL2,,,,AMEX60DD017596,,,,,,,
710,,,,,,,,,GPR37,NCALD,,,MAPK8IP2,,,,GNRH1 | AMEX60DD002993,,,,,,,
711,,,,,,,,,INPP5F,STXBP1,,,AC026355.2,,,,EYA2 | AMEX60DD027599,,,,,,,
712,,,,,,,,,DPYSL5,ITPR1,,,OAS3,,,,NPTXR | AMEX60DD029261,,,,,,,
713,,,,,,,,,PRRT1,CALY,,,TGFBR2,,,,DR999_PMT12225[nr]|PPDPF[hs] | AMEX60DD027003,,,,,,,
714,,,,,,,,,ACTL6B,YWHAH,,,THBS2,,,,RMI2 | AMEX60DD021440,,,,,,,
715,,,,,,,,,SNX10,PRKCE,,,ANLN,,,,LOC115087673[nr]|METTL7A[hs] | AMEX60DD029667,,,,,,,
716,,,,,,,,,CBLN2,LHPP,,,ABHD11,,,,LFNG | AMEX60DD021181,,,,,,,
717,,,,,,,,,ADAM23,FBXO34,,,CDC20,,,,LRRC32 | AMEX60DD049736,,,,,,,
718,,,,,,,,,PCP4,AP2M1,,,FAM83D,,,,LOC112116036[nr]|IFITM2[hs] | AMEX60DD004560,,,,,,,
719,,,,,,,,,NKX6-2,PNMA1,,,ATP5PF,,,,LOC113480136[nr]|RPL36A[hs] | AMEX60DDU001009570,,,,,,,
720,,,,,,,,,EXTL2,SLC2A13,,,NEBL,,,,SNX5 | AMEX60DD034775,,,,,,,
721,,,,,,,,,GJB1,TUBA4A,,,SCX,,,,CIRBP[nr] | AMEX60DD010598,,,,,,,
722,,,,,,,,,RGS5,LINC01007,,,ARPP21,,,,EPHX1[hs] | AMEX60DD036276,,,,,,,
723,,,,,,,,,GPX3,PLXNB1,,,RASAL3,,,,MPEG1 | AMEX60DD007220,,,,,,,
724,,,,,,,,,,KCNQ5,,,BOLA1,,,,TIMP1 | AMEX60DD020992,,,,,,,
725,,,,,,,,,,PIK3R1,,,LAMB1,,,,EIF4EBP3 | AMEX60DD029041,,,,,,,
726,,,,,,,,,,LINC00507,,,GBP3,,,,OSTN | AMEX60DD003207,,,,,,,
727,,,,,,,,,,QKI,,,MRPL58,,,,SLC25A6 | AMEX60DD048130,,,,,,,
728,,,,,,,,,,GLDN,,,AC092069.1,,,,HGFAC | AMEX60DD045978,,,,,,,
729,,,,,,,,,,NPTN,,,RBM47,,,,NTS | AMEX60DD007681,,,,,,,
730,,,,,,,,,,PGK1,,,COL3A1,,,,NDRG1[hs] | AMEX60DD040549,,,,,,,
731,,,,,,,,,,CCND1,,,IFITM1,,,,AMEX60DD040542,,,,,,,
732,,,,,,,,,,LTF,,,LINC01341,,,,SMOC1 | AMEX60DD011888,,,,,,,
733,,,,,,,,,,ZCCHC24,,,ASPN,,,,ALDH1A2 | AMEX60DD004101,,,,,,,
734,,,,,,,,,,DNAJA2,,,GFRA1,,,,DNM1 | AMEX60DD050279,,,,,,,
735,,,,,,,,,,CD24,,,LCK,,,,SP5 | AMEX60DD055651,,,,,,,
736,,,,,,,,,,JAKMIP1,,,H2AFZ,,,,SST | AMEX60DD003175,,,,,,,
737,,,,,,,,,,ACSL6,,,IGFBP7,,,,SLIT2 | AMEX60DD045792,,,,,,,
738,,,,,,,,,,KLC1,,,CCL5,,,,DAD1 | AMEX60DD009440,,,,,,,
739,,,,,,,,,,NPTX2,,,SNHG7,,,,ATP1A1 | AMEX60DD046884,,,,,,,
740,,,,,,,,,,HBB,,,C2orf27A,,,,TBR1 | AMEX60DD055781,,,,,,,
741,,,,,,,,,,LAMP2,,,TPRG1,,,,ZIC1 | AMEX60DD001970,,,,,,,
742,,,,,,,,,,FAM84A,,,KIF12,,,,PDGFRL | AMEX60DD045459,,,,,,,
743,,,,,,,,,,AC116565.1,,,TMEM165,,,,CPLX3 | AMEX60DD003990,,,,,,,
744,,,,,,,,,,PNMA8A,,,FGFR1,,,,LOC107084780[nr]|RPL19[hs] | AMEX60DD010282,,,,,,,
745,,,,,,,,,,FABP4,,,NAA20,,,,ACTG1 | AMEX60DD031316,,,,,,,
746,,,,,,,,,,MOG,,,SCARB1,,,,FGFR1 | AMEX60DD002586,,,,,,,
747,,,,,,,,,,ADGRL3,,,NUPR2,,,,AMEX60DD025200,,,,,,,
748,,,,,,,,,,YWHAB,,,UQCRQ,,,,nan | AMEX60DD040678,,,,,,,
749,,,,,,,,,,BEX5,,,ACTA2,,,,C1QTNF7 | AMEX60DD045837,,,,,,,
750,,,,,,,,,,NMNAT2,,,SRP54,,,,ZFP36L2 | AMEX60DD035972,,,,,,,
751,,,,,,,,,,RAP1GDS1,,,TLNRD1,,,,IFI30 | AMEX60DDU001002380,,,,,,,
752,,,,,,,,,,TTYH2,,,IGHG2,,,,ELK3 | AMEX60DD007825,,,,,,,
753,,,,,,,,,,ATP2B2,,,FCRLB,,,,SLC20A1 | AMEX60DD001301,,,,,,,
754,,,,,,,,,,LINC00599,,,FHL2,,,,AMEX60DD009514,,,,,,,
755,,,,,,,,,,PPP2R2C,,,PRR15,,,,MASP1 | AMEX60DD003171,,,,,,,
756,,,,,,,,,,C1orf115,,,ISOC2,,,,XB5750836.S[nr]|CDH1[hs] | AMEX60DD017039,,,,,,,
757,,,,,,,,,,GRM5,,,ITPRIPL2,,,,MAP2K1 | AMEX60DD003543,,,,,,,
758,,,,,,,,,,LRRN3,,,SASH3,,,,AMEX60DD014850,,,,,,,
759,,,,,,,,,,SYNC,,,OLMALINC,,,,RAC2 | AMEX60DD029329,,,,,,,
760,,,,,,,,,,HIP1R,,,MOCS2,,,,OGN | AMEX60DD023969,,,,,,,
761,,,,,,,,,,EEF1A2,,,ZFP62,,,,HB-B[nr]|HBD[hs] | AMEX60DD026264,,,,,,,
762,,,,,,,,,,PTGDS,,,NUAK1,,,,AMEX60DD017947,,,,,,,
763,,,,,,,,,,ACTR3B,,,ACKR3,,,,HID1 | AMEX60DD030925,,,,,,,
764,,,,,,,,,,RGS12,,,INHBB,,,,TMEM14A | AMEX60DD033443,,,,,,,
765,,,,,,,,,,ADAMTS4,,,CAPN9,,,,SLC16A12 | AMEX60DD052575,,,,,,,
766,,,,,,,,,,SVOP,,,PHKG1,,,,MYH11 | AMEX60DD020580,,,,,,,
767,,,,,,,,,,GNAL,,,SNHG17,,,,ACTB.L[nr]|ACTB[hs] | AMEX60DD025726,,,,,,,
768,,,,,,,,,,PRNP,,,ZWINT,,,,F5 | AMEX60DD047565,,,,,,,
769,,,,,,,,,,HSPA12A,,,ALCAM,,,,ANGPT4[nr]|ANGPT1[hs] | AMEX60DD027140,,,,,,,
770,,,,,,,,,,MIAT,,,PLPP1,,,,NTNG1 | AMEX60DD019201,,,,,,,
771,,,,,,,,,,NTM,,,EFHD1,,,,FBP1 | AMEX60DD043063,,,,,,,
772,,,,,,,,,,FAM107B,,,EPB41L5,,,,CALM2[nr]|CALM1[hs] | AMEX60DD035913,,,,,,,
773,,,,,,,,,,PAQR6,,,DDIT3,,,,AGT | AMEX60DD035333,,,,,,,
774,,,,,,,,,,CTNNB1,,,CILP,,,,APCDD1 | AMEX60DD038203,,,,,,,
775,,,,,,,,,,FHL1,,,PIK3CD,,,,CUNH17ORF58[nr]|C17ORF58[hs] | AMEX60DD031114,,,,,,,
776,,,,,,,,,,PFKP,,,SMC4,,,,BCAN | AMEX60DD016845,,,,,,,
777,,,,,,,,,,TFF1,,,APOL3,,,,GNG5 | AMEX60DD019042,,,,,,,
778,,,,,,,,,,ATP5F1B,,,PPID,,,,PRR7 | AMEX60DD027874,,,,,,,
779,,,,,,,,,,B4GALT6,,,SCGB2A2,,,,SDHAF2 | AMEX60DD004615,,,,,,,
780,,,,,,,,,,SIRT2,,,GRINA,,,,SEPTIN7 | AMEX60DD038047,,,,,,,
781,,,,,,,,,,PRKAR1B,,,CEMIP2,,,,ASIC4 | AMEX60DDU001008930,,,,,,,
782,,,,,,,,,,ABCA2,,,MYO6,,,,RGR | AMEX60DD052006,,,,,,,
783,,,,,,,,,,FABP3,,,HOPX,,,,LOC114603431[nr]|HSPA8[hs] | AMEX60DD017913,,,,,,,
784,,,,,,,,,,CPNE5,,,CSRNP2,,,,AMEX60DD054004,,,,,,,
785,,,,,,,,,,TPST2,,,APOL2,,,,RRBP1 | AMEX60DD034778,,,,,,,
786,,,,,,,,,,KCNQ3,,,HILPDA,,,,AMEX60DD056123,,,,,,,
787,,,,,,,,,,CXCL14,,,TXNL4A,,,,LOC115657461[nr]|CPA3[hs] | AMEX60DD001959,,,,,,,
788,,,,,,,,,,CDK18,,,CD37,,,,RPL10A | AMEX60DD008783,,,,,,,
789,,,,,,,,,,IGLC2,,,G0S2,,,,NPTX1 | AMEX60DD031350,,,,,,,
790,,,,,,,,,,NEUROD2,,,HLA-DPA1,,,,VIP | AMEX60DD034746,,,,,,,
791,,,,,,,,,,TANC2,,,CD3E,,,,PLVAP | AMEX60DD013910,,,,,,,
792,,,,,,,,,,CFD,,,CBWD5,,,,EGF | AMEX60DD044302,,,,,,,
793,,,,,,,,,,PPP3CA,,,GPRC5B,,,,LOC100555387[nr]|IGFBP5[hs] | AMEX60DD056219,,,,,,,
794,,,,,,,,,,CISD1,,,CDH11,,,,SLC4A4 | AMEX60DD043658,,,,,,,
795,,,,,,,,,,DNM1,,,ACAT1,,,,MIEN1 | AMEX60DD003604,,,,,,,
796,,,,,,,,,,MAP7D2,,,PPFIA1,,,,MOB3A | AMEX60DD014452,,,,,,,
797,,,,,,,,,,NRCAM,,,RPL26L1,,,,CAVIN1 | AMEX60DD010031,,,,,,,
798,,,,,,,,,,OLFM1,,,IGFBP5,,,,AMEX60DDU001010113,,,,,,,
799,,,,,,,,,,MAP7,,,ITM2A,,,,PCP4 | AMEX60DD047161,,,,,,,
800,,,,,,,,,,MYT1L,,,KRT81,,,,LOC102692279[nr]|DCK[hs] | AMEX60DD029069,,,,,,,
801,,,,,,,,,,ASS1,,,COX7A2,,,,RPL18 | AMEX60DD016566,,,,,,,
802,,,,,,,,,,RALB,,,CFB,,,,FKBP10 | AMEX60DD010079,,,,,,,
803,,,,,,,,,,SGK1,,,UBE2B,,,,CFAP100 | AMEX60DD023454,,,,,,,
804,,,,,,,,,,CA4,,,MT2A,,,,ADGRA2 | AMEX60DD002519,,,,,,,
805,,,,,,,,,,RGS4,,,TBC1D10C,,,,FGF17 | AMEX60DD002799,,,,,,,
806,,,,,,,,,,UBLCP1,,,PLXNA3,,,,VWC2L.2.S[nr]|VWC2L[hs] | AMEX60DD019831,,,,,,,
807,,,,,,,,,,DGKE,,,IL2RG,,,,COL18A1[nr] | AMEX60DD055544,,,,,,,
808,,,,,,,,,,IGHA2,,,RASSF10,,,,AMEX60DD027994,,,,,,,
809,,,,,,,,,,ZYG11B,,,ANKH,,,,SLC7A10 | AMEX60DD017624,,,,,,,
810,,,,,,,,,,ATP5IF1,,,TRAC,,,,AADAC | AMEX60DD001901,,,,,,,
811,,,,,,,,,,LRRC8D,,,COL14A1,,,,AMEX60DD007317,,,,,,,
812,,,,,,,,,,FEZ1,,,RMND1,,,,PTX3 | AMEX60DD001838,,,,,,,
813,,,,,,,,,,CCNG2,,,RASGRP2,,,,LOC108799893[nr]|JUN[hs] | AMEX60DD043789,,,,,,,
814,,,,,,,,,,CAMK4,,,XPOT,,,,GREM1 | AMEX60DD012132,,,,,,,
815,,,,,,,,,,SCG2,,,MRPL15,,,,CACHD1 | AMEX60DD019364,,,,,,,
816,,,,,,,,,,PLEKHB1,,,PLXNB1,,,,LOC113408961[nr]|CHKB-CPT1B[hs] | AMEX60DD007879,,,,,,,
817,,,,,,,,,,NPTXR,,,PIGC,,,,SCGN | AMEX60DD038981,,,,,,,
818,,,,,,,,,,BAIAP3,,,TCP1,,,,WNT2B | AMEX60DD008914,,,,,,,
819,,,,,,,,,,CSRP1,,,GINS2,,,,MMP13 | AMEX60DD049488,,,,,,,
820,,,,,,,,,,SOX8,,,ADAM12,,,,CSPG4 | AMEX60DD003939,,,,,,,
821,,,,,,,,,,CNST,,,LTF,,,,AB205_0167070[nr]|NCAM1[hs] | AMEX60DD015952,,,,,,,
822,,,,,,,,,,NSG2,,,TBC1D9,,,,WIF1 | AMEX60DD008217,,,,,,,
823,,,,,,,,,,HSPA1B,,,MUC19,,,,DDX5 | AMEX60DD031103,,,,,,,
824,,,,,,,,,,MORF4L2,,,USP14,,,,VWA2 | AMEX60DD053181,,,,,,,
825,,,,,,,,,,SLC6A1,,,RAC3,,,,HSPB8 | AMEX60DD001144,,,,,,,
826,,,,,,,,,,COQ10B,,,NKG7,,,,ADAMTS3 | AMEX60DD044173,,,,,,,
827,,,,,,,,,,GPR37,,,PTGFRN,,,,SHISA6 | AMEX60DD030578,,,,,,,
828,,,,,,,,,,RSRC1,,,TROAP,,,,FZD5 | AMEX60DD055073,,,,,,,
829,,,,,,,,,,DPYSL5,,,FAAH2,,,,LOC115073499[nr]|E2F2[hs] | AMEX60DD005547,,,,,,,
830,,,,,,,,,,CLEC3A,,,CCN4,,,,UPB1 | AMEX60DD000444,,,,,,,
831,,,,,,,,,,SNX10,,,DIO1,,,,AMEX60DD054256,,,,,,,
832,,,,,,,,,,SLC9A6,,,KIF23,,,,ADGRL4 | AMEX60DD018935,,,,,,,
833,,,,,,,,,,TEF,,,ADAMTS2,,,,COLEC12 | AMEX60DD039466,,,,,,,
834,,,,,,,,,,ATP1B2,,,ECT2,,,,RPL35A | AMEX60DD003014,,,,,,,
835,,,,,,,,,,CBLN2,,,MBOAT2,,,,ECH1 | AMEX60DD024274,,,,,,,
836,,,,,,,,,,ADAM23,,,GPRIN3,,,,CD74 | AMEX60DD030131,,,,,,,
837,,,,,,,,,,PCP4,,,PTGDS,,,,AB205_0026330[nr]|ISYNA1[hs] | AMEX60DD014135,,,,,,,
838,,,,,,,,,,FBXO9,,,ADAMTS4,,,,SEMA3E | AMEX60DD006238,,,,,,,
839,,,,,,,,,,NKX6-2,,,C19orf81,,,,CDH5 | AMEX60DD015366,,,,,,,
840,,,,,,,,,,EXTL2,,,HUS1B,,,,CHPF2 | AMEX60DD026214,,,,,,,
841,,,,,,,,,,ASNS,,,IFITM10,,,,SLC10A6 | AMEX60DD043891,,,,,,,
842,,,,,,,,,,AL078639.1,,,SNHG6,,,,LOC107743981[nr]|SIX6[hs] | AMEX60DD011857,,,,,,,
843,,,,,,,,,,GPX3,,,KLF10,,,,LLAP_20936[nr]|GGT5[hs] | AMEX60DD000431,,,,,,,
844,,,,,,,,,,,,,CYB5A,,,,LOC105092010[nr]|ZNF585A[hs] | AMEX60DD046532,,,,,,,
845,,,,,,,,,,,,,LINC02593,,,,LOC111571239[nr] | AMEX60DD001331,,,,,,,
846,,,,,,,,,,,,,HES6,,,,EGFL6 | AMEX60DD048505,,,,,,,
847,,,,,,,,,,,,,SLC9A3R2,,,,OLFML2A | AMEX60DD050542,,,,,,,
848,,,,,,,,,,,,,WRNIP1,,,,CD302 | AMEX60DD055797,,,,,,,
849,,,,,,,,,,,,,IGLC2,,,,SLC6A11 | AMEX60DD023992,,,,,,,
850,,,,,,,,,,,,,CRISP2,,,,AMEX60DD003045,,,,,,,
851,,,,,,,,,,,,,DEGS1,,,,SLC32A1 | AMEX60DD028674,,,,,,,
852,,,,,,,,,,,,,TMEM101,,,,NDRG4 | AMEX60DD015507,,,,,,,
853,,,,,,,,,,,,,RPRD2,,,,RPL14 | AMEX60DDU001008803,,,,,,,
854,,,,,,,,,,,,,SPARC,,,,GPC4 | AMEX60DD037492,,,,,,,
855,,,,,,,,,,,,,IL16,,,,UBC | AMEX60DD054762,,,,,,,
856,,,,,,,,,,,,,GBP5,,,,CD99[nr] | AMEX60DD048204,,,,,,,
857,,,,,,,,,,,,,CD82,,,,AMEX60DD009443,,,,,,,
858,,,,,,,,,,,,,BOLA3,,,,AFAP1L1 | AMEX60DD027728,,,,,,,
859,,,,,,,,,,,,,S100A13,,,,PMEPA1 | AMEX60DDU001002710,,,,,,,
860,,,,,,,,,,,,,AL451165.2,,,,CCDC83 | AMEX60DD049643,,,,,,,
861,,,,,,,,,,,,,TOB1,,,,ANGPTL4 | AMEX60DD014684,,,,,,,
862,,,,,,,,,,,,,LHFPL6,,,,ARRDC2 | AMEX60DD014074,,,,,,,
863,,,,,,,,,,,,,NDUFAF6,,,,DR999_PMT10249[nr] | AMEX60DD018201,,,,,,,
864,,,,,,,,,,,,,OTUD6B-AS1,,,,LYG2.S[nr]|LYG2[hs] | AMEX60DD047824,,,,,,,
865,,,,,,,,,,,,,ADGRL2,,,,SLC29A1 | AMEX60DD036508,,,,,,,
866,,,,,,,,,,,,,RPA3,,,,TRIM55 | AMEX60DD039825,,,,,,,
867,,,,,,,,,,,,,CCNG2,,,,P4HB[nr] | AMEX60DD031478,,,,,,,
868,,,,,,,,,,,,,GZMA,,,,DV515_00000735[nr]|RPS7[hs] | AMEX60DD033341,,,,,,,
869,,,,,,,,,,,,,MT1G,,,,VSTM2A | AMEX60DD038591,,,,,,,
870,,,,,,,,,,,,,C18orf25,,,,AMEX60DD011465,,,,,,,
871,,,,,,,,,,,,,ALOX5AP,,,,CHRDL1 | AMEX60DD037123,,,,,,,
872,,,,,,,,,,,,,CLEC3A,,,,EIF3G | AMEX60DD031858,,,,,,,
873,,,,,,,,,,,,,MESP1,,,,LGALS1[hs] | AMEX60DD029362,,,,,,,
874,,,,,,,,,,,,,PEG10,,,,EFNA1 | AMEX60DD014862,,,,,,,
875,,,,,,,,,,,,,PCGF1,,,,CCER2[nr]|CHGA[hs] | AMEX60DD024290,,,,,,,
876,,,,,,,,,,,,,BCCIP,,,,RPL31 | AMEX60DD047845,,,,,,,
877,,,,,,,,,,,,,SLC27A2,,,,CRHBP | AMEX60DD042341,,,,,,,
878,,,,,,,,,,,,,RHPN2,,,,MFNG | AMEX60DD029347,,,,,,,
879,,,,,,,,,,,,,BMERB1,,,,LOC115458015[nr] | AMEX60DD009522,,,,,,,
880,,,,,,,,,,,,,ZNF226,,,,ERMN | AMEX60DD055819,,,,,,,
881,,,,,,,,,,,,,RGS5,,,,AMEX60DD053567,,,,,,,
882,,,,,,,,,,,,,GRHL1,,,,DR999_PMT12449[nr]|SLC6A1[hs] | AMEX60DD023994,,,,,,,
883,,,,,,,,,,,,,LSS,,,,TMEM37 | AMEX60DD056036,,,,,,,
884,,,,,,,,,,,,,STRA6,,,,CBS | AMEX60DD046795,,,,,,,
885,,,,,,,,,,,,,ESPL1,,,,LOC115466141[nr]|RPL5[hs] | AMEX60DD010795,,,,,,,
886,,,,,,,,,,,,,KIFC1,,,,RPS18 | AMEX60DD010813,,,,,,,
887,,,,,,,,,,,,,QPCT,,,,FSTL1 | AMEX60DD046943,,,,,,,
888,,,,,,,,,,,,,BTG2,,,,MFAP4 | AMEX60DD028164,,,,,,,
889,,,,,,,,,,,,,COMP,,,,DKK3 | AMEX60DD004826,,,,,,,
890,,,,,,,,,,,,,HSBP1,,,,LOC107296474[nr]|RPL13A[hs] | AMEX60DD016362,,,,,,,
891,,,,,,,,,,,,,IGKC,,,,ATP5F1E | AMEX60DD027266,,,,,,,
892,,,,,,,,,,,,,SECTM1,,,,DDR2 | AMEX60DD018528,,,,,,,
893,,,,,,,,,,,,,CHRD,,,,UGT8 | AMEX60DD044795,,,,,,,
894,,,,,,,,,,,,,TUBA1C,,,,OLFML1 | AMEX60DD004862,,,,,,,
895,,,,,,,,,,,,,KDM4B,,,,AMEX60DD049767,,,,,,,
896,,,,,,,,,,,,,PTGIS,,,,LOC108696041[nr]|MFAP5[hs] | AMEX60DD026748,,,,,,,
